hour,actual,predicted,residual
169,18.1,30.190817,12.0908165
170,13.0,30.197847,17.197847
171,13.799999,30.21286,16.41286
172,9.7,30.227308,20.52731
173,9.0,30.25051,21.25051
174,7.6,30.253262,22.653261
175,9.7,30.24537,20.545372
176,10.3,30.227911,19.92791
177,9.6,30.190144,20.590143
178,12.2,30.16421,17.96421
179,7.8999996,30.131676,22.231676
180,9.299999,30.103535,20.803535
181,11.7,30.07116,18.371159
182,10.2,30.043285,19.843285
183,10.2,30.030315,19.830315
184,7.9999995,30.025045,22.025045
185,10.700001,30.038305,19.338305
186,13.799999,30.05468,16.25468
187,16.800001,30.080208,13.280207
188,6.8999996,30.104397,23.204397
189,9.9,30.131952,20.231953
190,10.2,30.146538,19.946537
191,7.5,30.15325,22.65325
192,8.099999,30.157436,22.057438
193,8.9,30.165474,21.265474
194,14.3,30.167383,15.867383
195,10.599999,30.17643,19.576431
196,9.2,30.189058,20.98906
197,10.900001,30.198467,19.298466
198,3.5000002,30.193583,26.693583
199,6.8999996,30.176632,23.276632
200,7.5,30.139645,22.639645
201,5.0,30.101082,25.101082
202,8.5,30.07323,21.57323
203,4.4,30.046171,25.646172
204,9.6,30.024126,20.424126
205,12.700001,30.004044,17.304043
206,13.2,29.978306,16.778305
207,12.4,29.958069,17.55807
208,9.099999,29.948284,20.848286
209,8.6,29.955202,21.355202
210,7.2000003,29.965261,22.76526
211,12.299999,29.969538,17.669538
212,13.7,29.97377,16.27377
213,15.599999,29.971106,14.371106
214,12.2,29.961365,17.761364
215,14.9,29.954994,15.054995
216,8.5,29.94061,21.44061
217,9.7,29.920544,20.220543
218,12.6,29.903904,17.303904
219,11.8,29.88881,18.08881
220,9.7,29.869926,20.169926
221,12.700001,29.855734,17.155733
222,17.4,29.83509,12.435091
223,15.4,29.80702,14.407021
224,7.4,29.773008,22.373009
225,10.700001,29.735212,19.035212
226,11.4,29.704071,18.304071
227,7.2000003,29.67341,22.47341
228,6.4,29.639345,23.239346
229,16.3,29.612844,13.312845
230,12.299999,29.595465,17.295465
231,13.2,29.58383,16.383831
232,15.700001,29.583452,13.883451
233,11.599999,29.591944,17.991943
234,11.1,29.607914,18.507914
235,14.200001,29.623627,15.423626
236,15.799999,29.638794,13.838795
237,16.5,29.644876,13.1448765
238,14.5,29.659103,15.159103
239,11.9,29.670143,17.770144
240,14.6,29.67725,15.07725
241,11.3,29.681662,18.38166
242,12.099999,29.681595,17.581596
243,13.7,29.68096,15.98096
244,7.2000003,29.681215,22.481215
245,12.099999,29.68287,17.58287
246,8.400001,29.675724,21.275723
247,16.6,29.665352,13.0653515
248,9.9,29.641586,19.741587
249,10.700001,29.611944,18.911943
250,13.4,29.57098,16.17098
251,10.4,29.524094,19.124094
252,12.099999,29.491995,17.391994
253,9.099999,29.467981,20.367981
254,11.2,29.459986,18.259987
255,14.099999,29.453136,15.353137
256,13.3,29.457079,16.157078
257,10.0,29.474678,19.474678
258,15.700001,29.495752,13.795752
259,11.9,29.51996,17.61996
260,15.2,29.542078,14.342078
261,17.0,29.562721,12.562721
262,12.2,29.57157,17.37157
263,11.5,29.574738,18.074738
264,12.900001,29.57076,16.670761
265,12.8,29.56939,16.76939
266,12.700001,29.566631,16.86663
267,10.700001,29.567478,18.867477
268,12.6,29.574528,16.974527
269,15.900001,29.586405,13.686404
270,14.099999,29.596817,15.496818
271,14.200001,29.59468,15.39468
272,18.4,29.587008,11.187008
273,11.9,29.574255,17.674255
274,15.700001,29.561773,13.861773
275,13.9,29.54488,15.64488
276,17.0,29.531767,12.531767
277,13.1,29.522669,16.422668
278,17.2,29.524733,12.324732
279,11.8,29.523754,17.723755
280,13.599999,29.536003,15.936004
281,18.300001,29.557796,11.257795
282,10.0,29.57607,19.57607
283,16.6,29.59928,12.999279
284,17.7,29.617485,11.917484
285,14.400001,29.62487,15.22487
286,11.1,29.633463,18.533463
287,16.5,29.639414,13.139414
288,19.6,29.641113,10.041113
289,14.000001,29.644371,15.64437
290,16.5,29.657707,13.157707
291,17.6,29.684881,12.084881
292,18.4,29.726656,11.326656
293,14.8,29.765799,14.965798
294,14.8,29.793901,14.993901
295,21.0,29.810488,8.810488
296,20.300001,29.806707,9.506706
297,14.000001,29.78619,15.786189
298,15.2,29.755692,14.555692
299,13.4,29.733095,16.333096
300,15.4,29.717224,14.3172245
301,11.3,29.701317,18.401318
302,8.400001,29.685125,21.285126
303,11.599999,29.671387,18.071388
304,10.5,29.664816,19.164816
305,5.2999997,29.665216,24.365217
306,6.1,29.670666,23.570665
307,3.8,29.677307,25.877308
308,9.7,29.682877,19.982876
309,5.2999997,29.684715,24.384716
310,11.7,29.69307,17.993069
311,7.4,29.69112,22.29112
312,10.3,29.689695,19.389694
313,11.2,29.687021,18.487022
314,10.3,29.6901,19.390099
315,9.299999,29.696407,20.396408
316,11.1,29.714882,18.614882
317,12.099999,29.730057,17.630058
318,11.7,29.742548,18.04255
319,8.6,29.742208,21.142208
320,10.900001,29.72608,18.82608
321,14.7,29.701406,15.001407
322,10.2,29.68109,19.48109
323,7.7,29.663969,21.96397
324,7.1000004,29.650156,22.550156
325,12.8,29.633423,16.833424
326,8.099999,29.62195,21.52195
327,9.7,29.61801,19.91801
328,8.400001,29.621483,21.221481
329,5.5,29.647696,24.147696
330,6.0,29.684872,23.684872
331,8.7,29.717983,21.017982
332,9.0,29.738136,20.738136
333,6.7,29.751413,23.051414
334,6.1,29.760715,23.660715
335,10.700001,29.770775,19.070774
336,6.6,29.776493,23.176493
337,3.1,29.776514,26.676514
338,5.2999997,29.779776,24.479776
339,8.3,29.791462,21.491463
340,6.2,29.818,23.618
341,8.3,29.84845,21.54845
342,2.7,29.862066,27.162066
343,8.7,29.867386,21.167385
344,8.6,29.872461,21.27246
345,6.8999996,29.866236,22.966236
346,9.8,29.849592,20.049591
347,9.9,29.835037,19.935038
348,6.7,29.823023,23.123024
349,4.7,29.811806,25.111805
350,6.3,29.803696,23.503696
351,7.8999996,29.802431,21.902431
352,7.2000003,29.810764,22.610764
353,4.9,29.82511,24.92511
354,6.3,29.8482,23.548199
355,7.0000005,29.877035,22.877035
356,9.099999,29.89888,20.798882
357,6.8999996,29.921015,23.021015
358,7.4,29.932674,22.532675
359,7.1000004,29.935656,22.835655
360,10.5,29.928452,19.428452
361,10.0,29.914875,19.914875
362,5.7,29.894094,24.194096
363,6.8999996,29.8745,22.9745
364,3.8,29.876366,26.076366
365,5.4,29.873087,24.473087
366,5.6,29.867662,24.267662
367,6.0,29.853195,23.853195
368,6.2,29.837976,23.637978
369,6.2,29.814072,23.61407
370,6.7,29.784819,23.08482
371,7.8999996,29.757093,21.857094
372,13.4,29.728302,16.328302
373,7.5,29.705072,22.205072
374,13.4,29.687677,16.287678
375,10.0,29.683384,19.683384
376,8.6,29.686789,21.086788
377,13.3,29.707676,16.407677
378,14.6,29.732079,15.132078
379,13.599999,29.756607,16.156609
380,7.8999996,29.782429,21.88243
381,11.2,29.810698,18.610699
382,10.5,29.846363,19.346363
383,12.900001,29.869686,16.969685
384,12.099999,29.885485,17.785484
385,7.0000005,29.897085,22.897085
386,10.4,29.917736,19.517736
387,9.5,29.936026,20.436026
388,9.2,29.94525,20.74525
389,12.8,29.956072,17.15607
390,17.3,29.956005,12.656006
391,16.5,29.951145,13.451145
392,12.4,29.943754,17.543755
393,7.0000005,29.92641,22.92641
394,7.2000003,29.901846,22.701845
395,6.5,29.879093,23.379093
396,10.700001,29.856117,19.156116
397,4.9,29.832636,24.932636
398,5.9,29.819187,23.919188
399,8.3,29.8179,21.517899
400,11.599999,29.840256,18.240257
401,7.5,29.887873,22.387873
402,11.9,29.950865,18.050865
403,10.700001,30.01576,19.31576
404,5.4,30.091084,24.691084
405,3.6000001,30.158451,26.55845
406,10.5,30.204306,19.704306
407,8.3,30.237316,21.937317
408,11.2,30.260183,19.060184
409,8.9,30.277052,21.377052
410,7.7999997,30.280184,22.480185
411,12.499999,30.277977,17.777977
412,3.3999999,30.270504,26.870504
413,9.2,30.267933,21.067932
414,12.6,30.270527,17.670527
415,5.1,30.28426,25.18426
416,7.8999996,30.290783,22.390783
417,7.7999997,30.274397,22.474398
418,9.2,30.240334,21.040333
419,6.7,30.196772,23.496773
420,6.8999996,30.144636,23.244637
421,8.5,30.083944,21.583944
422,7.7999997,30.027697,22.227697
423,10.4,29.996077,19.596077
424,6.1,30.000782,23.900782
425,8.3,30.026983,21.726982
426,10.2,30.066412,19.866413
427,5.7999997,30.110138,24.310139
428,6.3,30.146393,23.846394
429,7.1000004,30.173792,23.073792
430,5.7,30.201456,24.501457
431,3.7,30.218151,26.51815
432,5.4,30.225883,24.825884
433,5.0,30.229492,25.229492
434,6.5,30.242867,23.742867
435,7.9999995,30.255363,22.255363
436,1.4,30.260225,28.860226
437,9.0,30.279299,21.279299
438,8.3,30.30068,22.000679
439,6.1,30.300203,24.200203
440,3.1,30.27856,27.17856
441,3.8999999,30.235504,26.335505
442,8.6,30.181644,21.581644
443,3.0,30.122803,27.122803
444,6.2,30.066973,23.866974
445,2.7,30.012867,27.312866
446,8.099999,29.975437,21.875439
447,5.6,29.964241,24.36424
448,6.7,29.98337,23.283371
449,7.5,30.03626,22.53626
450,5.6,30.103567,24.503567
451,5.1,30.172726,25.072725
452,4.6,30.227283,25.627283
453,4.4,30.28379,25.883791
454,10.900001,30.325512,19.42551
455,11.1,30.361366,19.261366
456,10.900001,30.386475,19.486473
457,11.5,30.418127,18.918127
458,10.2,30.446827,20.246826
459,10.5,30.471924,19.971924
460,10.5,30.500658,20.000658
461,23.900002,30.524246,6.6242447
462,30.9,30.537354,-0.3626461
463,21.3,30.534307,9.234308
464,13.5,30.507336,17.007336
465,12.900001,30.452301,17.5523
466,16.400002,30.381542,13.981541
467,11.3,30.300352,19.00035
468,13.7,30.21839,16.51839
469,12.2,30.149326,17.949326
470,12.0,30.096561,18.096561
471,13.5,30.062735,16.562735
472,11.5,30.05852,18.55852
473,10.0,30.088297,20.088297
474,12.099999,30.127628,18.02763
475,13.599999,30.164795,16.564796
476,9.0,30.196772,21.196772
477,7.6,30.213692,22.613691
478,10.700001,30.22178,19.52178
479,6.2,30.232628,24.032627
480,13.799999,30.242508,16.442509
481,19.1,30.238422,11.138422
482,10.0,30.236492,20.236492
483,9.0,30.237429,21.237429
484,10.5,30.242508,19.742508
485,21.5,30.239796,8.739796
486,34.1,30.232956,-3.8670425
487,27.199999,30.231335,3.0313358
488,18.599998,30.21006,11.610062
489,17.8,30.185045,12.385046
490,14.3,30.152271,15.852271
491,12.099999,30.112583,18.012585
492,12.4,30.067572,17.667572
493,15.0,30.020874,15.020874
494,15.0,29.975885,14.975885
495,14.8,29.94074,15.14074
496,12.099999,29.938065,17.838066
497,24.300001,29.952888,5.6528873
498,9.099999,29.972742,20.872742
499,7.8999996,29.989964,22.089964
500,13.1,29.998716,16.898716
501,11.2,30.0076,18.807602
502,9.2,30.0079,20.8079
503,12.2,30.0113,17.811298
504,10.900001,30.015114,19.115112
505,9.0,30.020704,21.020704
506,9.6,30.023762,20.423761
507,12.499999,30.036798,17.5368
508,12.6,30.057291,17.45729
509,15.599999,30.080965,14.480966
510,10.599999,30.086252,19.486252
511,9.5,30.070242,20.570242
512,9.7,30.023935,20.323936
513,8.200001,29.96867,21.76867
514,12.2,29.906239,17.706238
515,10.0,29.837326,19.837326
516,11.599999,29.770357,18.170357
517,4.4,29.703884,25.303885
518,7.3,29.653727,22.353725
519,8.400001,29.615023,21.215023
520,3.5000002,29.591305,26.091305
521,8.7,29.580317,20.880318
522,4.6,29.57792,24.97792
523,7.1000004,29.581642,22.481642
524,7.7999997,29.593334,21.793335
525,12.2,29.59963,17.399632
526,12.900001,29.604664,16.704662
527,12.099999,29.601189,17.50119
528,10.700001,29.596823,18.896822
529,9.099999,29.590693,20.490692
