station_id,latitude,longitude,state_name,n_readings,mean_pm25,std_pm25
42-45-109,39.818715,-75.413973,Pennsylva,15272,9.77303562074384,13.02178148376197
42-49-3,42.14175,-80.038611,Pennsylva,17422,8.137567443462288,7.981190584139854
47-163-1007,36.538761,-82.521599,Tennessee,16228,6.958664037466115,5.404718761565746
49-35-3014,40.709762,-112.00876,Utah,16093,7.6351581432920534,6.930217615774858
6-29-10,35.385574,-119.015009,Californi,16488,15.197313197476957,12.576015703777587
6-67-15,38.593322,-121.503795,Californi,16838,9.515203705903314,8.87749174625881
6-79-8002,35.49453,-120.66617,Californi,15576,5.529275808936826,5.46905287418967
6-83-2011,34.44551,-119.8284,Californi,15252,5.985903488067139,4.2620844887483464
18-97-81,39.788903,-86.214628,Indiana,17227,13.600783653567172,14.24691757410857
24-33-30,39.055277,-76.878333,Maryland,12434,7.127553482387003,8.807948945386899
25-13-18,42.120229,-72.584503,Massachus,14850,8.374134680134693,6.869068223898558
27-109-5008,43.996908,-92.450366,Minnesota,16665,8.852019201920186,8.495852375980121
38-17-1004,46.933754,-96.85535,North Dak,17003,9.824131035699592,10.252564381894738
53-73-19,48.760036,-122.456463,Washingto,15134,5.83685740716268,8.181085864644526
55-41-7,45.56498,-88.80859,Wisconsin,16752,6.723292741165227,8.43993067362987
13-139-3,34.2993,-83.8134,Georgia,17387,9.856214413067203,6.446635866996739
18-89-22,41.606662,-87.304943,Indiana,16331,8.880111444492085,8.573962421795398
24-23-2,39.70595,-79.012,Maryland,16054,5.8041609567708985,5.877634054182207
27-31-7810,47.972085,-89.69098,Minnesota,12990,4.024018475750562,5.521200164954664
28-47-8,30.390369,-89.049778,Mississip,17352,9.327541493775943,5.813030758977097
37-119-41,35.2401,-80.785683,North Car,17002,8.369721209269498,6.343350823448515
39-87-12,38.508075,-82.659241,Ohio,17333,8.954456816477235,6.682749493451768
48-257-5,32.564968,-96.317687,Texas,13808,8.347356604866743,5.714374482270482
53-61-1007,48.054315,-122.171529,Washingto,16769,9.028624247122666,11.33316445977535
6-85-6,37.338135,-121.849783,Californi,16014,8.321780941676034,7.472169320723151
6-97-4,38.403765,-122.818294,Californi,16170,6.0492888064316634,5.56811268125703
18-65-3,40.009544,-85.52347,Indiana,8115,10.46050523721499,11.923227590116024
21-111-51,38.06091,-85.89804,Kentucky,17269,10.538913660316178,7.491401874123882
26-147-5,42.953336,-82.456229,Michigan,16732,9.717051159454954,11.425041167310866
39-61-40,39.12886,-84.50404,Ohio,17302,10.06023003121022,8.076052524186315
4-23-4,31.337204,-110.936718,Arizona,16338,8.98947239564206,10.788949516687307
40-115-9004,36.922222,-94.838889,Oklahoma,8177,10.197419591537232,7.9841568564616585
40-31-651,34.63298,-98.42879,Oklahoma,16054,7.853070885760549,6.410408220848574
46-13-4,45.468596,-98.494061,South Dak,15457,6.3074594035065745,8.818497822851054
48-439-1006,32.759154,-97.342332,Texas,16685,9.946640695235248,9.295722251788137
53-33-2004,47.386111,-122.230278,Washingto,12468,8.807667629130574,9.947124131787778
